index1.1,index1.2,val1,index2.1,index2.2,val2,Class
4.0,0.06,8.19699,4.0,0.06,11.3309,0
4.0,0.24,8.23735,4.0,0.24,11.3523,0
4.0,0.48,8.17149,4.0,0.48,11.1453,0
16.114492327568325,4.438012313862654,55.97507045153322,14.156716616521665,6.5457630901895625,39.640877374945674,1
4.0,1.2,8.24945,4.0,1.2,11.1623,0
4.0,1.8,8.41948,4.0,1.8,11.3251,0
5.0,0.06,10.2503,5.0,0.06,13.944,0
5.0,0.24,10.2124,5.0,0.24,14.1118,0
5.0,0.48,10.2301,5.0,0.48,13.9728,0
5.0,1.8,14.078,5.0,1.8,0.023638,1
5.0,1.2,10.2565,5.0,1.2,14.1573,0
5.0,1.8,10.4075,5.0,1.8,14.1322,0
0.1,0.06,0.243067,0.1,0.06,0.00245,0
0.1,0.24,0.266772,0.1,0.24,0.005241,0
0.1,0.48,0.250856,0.1,0.48,0.007113,0
0.1,0.9,0.265419,0.1,0.9,0.015263,0
0.1,1.2,0.269267,0.1,1.2,0.018692,0
0.1,1.8,0.431288,0.1,1.8,0.022137,0
0.5,0.06,1.07437,0.5,0.06,0.00238,0
0.5,0.24,1.07853,0.5,0.24,0.005179,0
0.5,0.48,1.05575,0.5,0.48,0.007473,0
0.5,0.9,1.07894,0.5,0.9,0.015106,0
0.5,1.2,1.093,0.5,1.2,0.019158,0
0.5,1.8,1.27717,0.5,1.8,0.022357,0
1.2,0.06,2.49213,1.2,0.06,0.002304,0
1.2,0.24,2.53051,1.2,0.24,0.004973,0
1.2,0.48,2.49108,1.2,0.48,0.007244,0
1.2,0.9,2.51249,1.2,0.9,0.014874,0
1.2,1.2,2.50467,1.2,1.2,0.018978,0
1.2,1.8,2.6939,1.2,1.8,0.022263,0
3.0,0.06,6.1865,3.0,0.06,0.001699,0
3.0,0.24,6.16064,3.0,0.24,0.004675,0
3.0,0.48,6.15715,3.0,0.48,0.006947,0
3.0,0.9,6.19435,3.0,0.9,0.014579,0
3.0,1.2,6.17992,3.0,1.2,0.018561,0
3.0,1.8,6.34771,3.0,1.8,0.024184,0
4.0,0.06,8.19699,4.0,0.06,0.001668,0
4.0,0.24,8.23735,4.0,0.24,0.004395,0
4.0,0.48,8.17149,4.0,0.48,0.006627,0
4.0,0.9,8.20701,4.0,0.9,0.01426,0
4.0,1.2,8.24945,4.0,1.2,0.018345,0
4.0,1.8,8.41948,4.0,1.8,0.023999,0
5.0,0.06,10.2503,5.0,0.06,0.001433,0
5.0,0.24,10.2124,5.0,0.24,0.004259,0
5.0,0.48,10.2301,5.0,0.48,0.006435,0
5.0,0.9,10.2659,5.0,0.9,0.014148,0
5.0,1.2,10.2565,5.0,1.2,0.018129,0
5.0,1.8,10.4075,5.0,1.8,0.023883,0
